timestamp,soil
2026-06-24 10:04:17,"Soil Moisture Level: 0% 
"
2026-06-24 10:04:18,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:19,"Soil Moisture Level: 0% 
"
2026-06-24 10:04:20,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:21,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:22,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:23,"Soil Moisture Level: 42% 
"
2026-06-24 10:04:24,"Soil Moisture Level: 50% 
"
2026-06-24 10:04:25,"Soil Moisture Level: 3% 
"
2026-06-24 10:04:26,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:27,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:28,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:29,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:30,"Soil Moisture Level: 0% 
"
2026-06-24 10:04:31,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:32,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:33,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:34,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:35,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:36,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:38,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:39,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:40,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:41,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:42,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:43,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:44,"Soil Moisture Level: 0% 
"
2026-06-24 10:04:45,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:46,"Soil Moisture Level: 0% 
"
2026-06-24 10:04:47,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:48,"Soil Moisture Level: 0% 
"
2026-06-24 10:04:49,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:50,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:51,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:52,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:53,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:54,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:55,"Soil Moisture Level: 3% 
"
2026-06-24 10:04:56,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:57,"Soil Moisture Level: 1% 
"
2026-06-24 10:04:58,"Soil Moisture Level: 2% 
"
2026-06-24 10:04:59,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:00,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:01,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:02,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:04,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:05,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:06,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:07,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:08,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:09,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:10,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:11,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:12,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:13,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:14,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:15,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:16,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:17,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:18,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:19,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:20,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:21,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:22,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:23,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:24,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:25,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:26,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:27,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:28,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:29,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:30,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:31,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:33,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:34,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:35,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:36,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:37,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:38,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:39,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:40,"Soil Moisture Level: 0% 
"
2026-06-24 10:05:41,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:42,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:43,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:44,"Soil Moisture Level: 0% 
"
2026-06-24 10:05:45,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:46,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:47,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:48,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:49,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:50,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:51,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:52,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:53,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:54,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:55,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:56,"Soil Moisture Level: 1% 
"
2026-06-24 10:05:57,"Soil Moisture Level: 2% 
"
2026-06-24 10:05:58,"Soil Moisture Level: 1% 
"
2026-06-24 10:06:00,"Soil Moisture Level: 1% 
"
2026-06-24 10:06:01,"Soil Moisture Level: 2% 
"
2026-06-24 10:06:02,"Soil Moisture Level: 1% 
"
2026-06-24 10:06:03,"Soil Moisture Level: 1% 
"
2026-06-24 10:06:04,"Soil Moisture Level: 2% 
"
